team_name,team_id
Ecuador, 2382 
Scotland, 1108
France, 2
New Zealand,1716
South Korea, 17
Qatar,1569
Japan, 12
Morocco, 31
Colombia, 8
England, 10
Spain, 9
Algeria, 1532
Paraguay, 2380
Ivory Coast, 1501
Egypt, 32
Saudi Arabia, 23
Brazil, 6
Netherlands, 1118 
Germany, 25
Senegal, 13
Mexico, 16
Ghana,1504
Croatia,3
Norway, 1090
Argentina,26
Uruguay, 7
Tunisia, 28
Belgium, 1
Switzerland, 15
Sweden, 5
Portugal,27
United States, 2384
