player_id,name,age,number,position,photo,team_name,team_id
22090,W. Saliba,24.0,17.0,Defender,https://media.api-sports.io/football/players/22090.png,France,2
1149,D. Upamecano,27.0,4.0,Defender,https://media.api-sports.io/football/players/1149.png,France,2
156477,R. Cherki,22.0,24.0,Midfielder,https://media.api-sports.io/football/players/156477.png,France,2
2290,N. Kanté,34.0,13.0,Midfielder,https://media.api-sports.io/football/players/2290.png,France,2
22147,M. Koné,24.0,6.0,Midfielder,https://media.api-sports.io/football/players/22147.png,France,2
272,A. Rabiot,30.0,14.0,Midfielder,https://media.api-sports.io/football/players/272.png,France,2
1271,A. Tchouaméni,25.0,8.0,Midfielder,https://media.api-sports.io/football/players/1271.png,France,2
336657,W. Zaïre-Emery,19.0,18.0,Midfielder,https://media.api-sports.io/football/players/336657.png,France,2
274300,M. Akliouche,23.0,25.0,Midfielder,https://media.api-sports.io/football/players/274300.png,France,2
161904,B. Barcola,23.0,12.0,Attacker,https://media.api-sports.io/football/players/161904.png,France,2
25927,J. Mateta,28.0,22.0,Attacker,https://media.api-sports.io/football/players/25927.png,France,2
153,O. Dembélé,28.0,7.0,Attacker,https://media.api-sports.io/football/players/153.png,France,2
343027,D. Doué,20.0,20.0,Attacker,https://media.api-sports.io/football/players/343027.png,France,2
278,Kylian Mbappé,27.0,10.0,Attacker,https://media.api-sports.io/football/players/278.png,France,2
21509,M. Thuram,28.0,9.0,Midfielder,https://media.api-sports.io/football/players/21509.png,France,2
19617,M. Olise,24.0,11.0,Midfielder,https://media.api-sports.io/football/players/19617.png,France,2
68988,V. Esson,34.0,12.0,Goalkeeper,https://media.api-sports.io/football/players/68988.png,New Zealand W,1716
323352,A. Leat,24.0,1.0,Goalkeeper,https://media.api-sports.io/football/players/323352.png,New Zealand W,1716
614838,Alina Santos,,,Goalkeeper,https://media.api-sports.io/football/players/614838.png,New Zealand W,1716
296967,E. Anton,27.0,19.0,Defender,https://media.api-sports.io/football/players/296967.png,New Zealand W,1716
68991,C. Bott,30.0,4.0,Defender,https://media.api-sports.io/football/players/68991.png,New Zealand W,1716
296703,C. Bunge,26.0,3.0,Defender,https://media.api-sports.io/football/players/296703.png,New Zealand W,1716
613611,M. Elliott,20.0,11.0,Defender,https://media.api-sports.io/football/players/613611.png,New Zealand W,1716
400729,M. Foster,26.0,7.0,Defender,https://media.api-sports.io/football/players/400729.png,New Zealand W,1716
614839,Ally Green,27.0,15.0,Defender,https://media.api-sports.io/football/players/614839.png,New Zealand W,1716
68994,M. Moore,29.0,5.0,Defender,https://media.api-sports.io/football/players/68994.png,New Zealand W,1716
348672,K. Taylor,22.0,2.0,Defender,https://media.api-sports.io/football/players/348672.png,New Zealand W,1716
290835,M. Hahn,24.0,16.0,Midfielder,https://media.api-sports.io/football/players/290835.png,New Zealand W,1716
