player_id,name,position,team_name,team_id
138908,E. Anderson,Midfielder,England,10
129718,J. Bellingham,Midfielder,England,10
19586,E. Eze,Midfielder,England,10
292,J. Henderson,Midfielder,England,10
284322,K. Mainoo,Midfielder,England,10
2937,D. Rice,Midfielder,England,10
19170,M. Rogers,Midfielder,England,10
138787,A. Gordon,Attacker,England,10
184,H. Kane,Attacker,England,10
136723,N. Madueke,Attacker,England,10
909,M. Rashford,Midfielder,England,10
1460,B. Saka,Attacker,England,10
19974,I. Toney,Attacker,England,10
19366,O. Watkins,Midfielder,England,10
753,Marcos Llorente,Midfielder,Spain,9
296667,Gavi,Midfielder,Spain,9
47311,Mikel Merino,Midfielder,Spain,9
133609,Pedri,Midfielder,Spain,9
44,Rodri,Midfielder,Spain,9
328,Fabián Ruiz,Midfielder,Spain,9
47315,Martín Zubimendi,Midfielder,Spain,9
182219,Álex Baena,Midfielder,Spain,9
1323,Dani Olmo,Midfielder,Spain,9
47348,Borja Iglesias,Attacker,Spain,9
386828,Lamine Yamal,Attacker,Spain,9
338751,Víctor Muñoz,Attacker,Spain,9
47323,Mikel Oyarzabal,Attacker,Spain,9
184226,Yeremy Pino,Midfielder,Spain,9
931,Ferran Torres,Midfielder,Spain,9
183799,Nico Williams,Attacker,Spain,9
658,H. Aouar,Midfielder,Algeria,1532
409,N. Bentaleb,Midfielder,Algeria,1532
4399,H. Boudaoui,Midfielder,Algeria,1532
380587,I. Maza,Midfielder,Algeria,1532
327599,Y. Titraoui,Midfielder,Algeria,1532
129047,R. Zerrouki,Midfielder,Algeria,1532
276670,F. Chaïbi,Midfielder,Algeria,1532
200139,M. Amoura,Attacker,Algeria,1532
292924,A. Benbouali,Attacker,Algeria,1532
329163,A. Boulbina,Attacker,Algeria,1532
334915,F. Ghedjemis,Attacker,Algeria,1532
85041,A. Gouiri,Attacker,Algeria,1532
326067,A. Hadj-Moussa,Attacker,Algeria,1532
635,R. Mahrez,Attacker,Algeria,1532
195107,D. Bobadilla,Midfielder,Paraguay,2380
119128,G. Caballero,Midfielder,Paraguay,2380
6236,A. Cubas,Midfielder,Paraguay,2380
305832,M. Galarza,Midfielder,Paraguay,2380
278370,D. Gómez,Midfielder,Paraguay,2380
106485,Maurício,Midfielder,Paraguay,2380
70767,B. Ojeda,Midfielder,Paraguay,2380
196298,R. Sosa,Midfielder,Paraguay,2380
2507,M. Almirón,Midfielder,Paraguay,2380
2514,A. Romero,Attacker,Paraguay,2380
95460,A. Arce,Attacker,Paraguay,2380
6483,G. Ávalos,Attacker,Paraguay,2380
70747,J. Enciso,Attacker,Paraguay,2380
70670,I. Pitta,Attacker,Paraguay,2380
2522,A. Sanabria,Attacker,Paraguay,2380
30807,S. Fofana,Midfielder,Ivory Coast,1501
474591,C. Inao Oulai,Midfielder,Ivory Coast,1501
1642,F. Kessié,Midfielder,Ivory Coast,1501
22149,I. Sangaré,Midfielder,Ivory Coast,1501
3243,J. Seri,Midfielder,Ivory Coast,1501
263228,P. Guiagon,Midfielder,Ivory Coast,1501
387643,B. Touré,Attacker,Ivory Coast,1501
301771,S. Adingra,Attacker,Ivory Coast,1501
275651,A. Bonny,Attacker,Ivory Coast,1501
334429,O. Diakité,Midfielder,Ivory Coast,1501
157997,A. Diallo,Attacker,Ivory Coast,1501
513776,Y. Diomande,Midfielder,Ivory Coast,1501
137303,E. Guessand,Attacker,Ivory Coast,1501
3246,N. Pépé,Attacker,Ivory Coast,1501
162707,E. Wahi,Attacker,Ivory Coast,1501
17269,Emam Ashour,Midfielder,Egypt,32
190575,Marwan Attia,Midfielder,Egypt,32
2660,Nabil Emad Dunga,Midfielder,Egypt,32
16841,Mohanad Lasheen,Midfielder,Egypt,32
69196,Mahmoud Saber,Midfielder,Egypt,32
395075,Mostafa Zico,Midfielder,Egypt,32
2664,Trézéguet,Midfielder,Egypt,32
20844,H. Hassan,Midfielder,Egypt,32
664079,Ahmed Zizo,Attacker,Egypt,32
550547,H. Abdelkarim,Attacker,Egypt,32
70535,Ibrahim Adel,Attacker,Egypt,32
81573,Omar Marmoush,Attacker,Egypt,32
306,Mohamed Salah,Attacker,Egypt,32
403087,Mohammed Abu Al Shamat,Midfielder,Saudi Arabia,23
44339,Nasser Al Dawsari,Midfielder,Saudi Arabia,23
44349,Mohamed Kanno,Midfielder,Saudi Arabia,23
269172,Ziyad Al Johani,Midfielder,Saudi Arabia,23
306380,Musab Al Juwayr,Attacker,Saudi Arabia,23
44315,Abdullah Al Khaibari,Midfielder,Saudi Arabia,23
593759,Ala Al Haji,Midfielder,Saudi Arabia,23
44701,Khalid Al Ghannam,Attacker,Saudi Arabia,23
2639,Sultan Mandash,Attacker,Saudi Arabia,23
147812,Ayman Yahya,Attacker,Saudi Arabia,23
44324,Feras Al Brikan,Attacker,Saudi Arabia,23
44382,Abdullah Al Hamdan,Attacker,Saudi Arabia,23
44551,Saleh Al Shehri,Attacker,Saudi Arabia,23
44340,Salem Al Dawsari,Midfielder,Saudi Arabia,23
10135,Bruno Guimarães,Midfielder,Brazil,6
747,Casemiro,Midfielder,Brazil,6
299,Fabinho,Midfielder,Brazil,6
1646,Lucas Paquetá,Midfielder,Brazil,6
275170,Danilo Santos,Midfielder,Brazil,6
1165,Matheus Cunha,Attacker,Brazil,6
377122,Endrick,Attacker,Brazil,6
265785,Luiz Henrique,Midfielder,Brazil,6
127769,Gabriel Martinelli,Attacker,Brazil,6
276,Neymar,Attacker,Brazil,6
1496,Raphinha,Midfielder,Brazil,6
407806,Rayan,Attacker,Brazil,6
196156,Thiago,Attacker,Brazil,6
762,Vinícius Júnior,Midfielder,Brazil,6
542,R. Gravenberch,Midfielder,Netherlands,1118
36899,T. Koopmeiners,Midfielder,Netherlands,1118
36902,T. Reijnders,Midfielder,Netherlands,1118
36905,G. Til,Midfielder,Netherlands,1118
38747,Q. Timber,Midfielder,Netherlands,1118
538,F. de Jong,Midfielder,Netherlands,1118
30432,M. de Roon,Midfielder,Netherlands,1118
792,J. Kluivert,Attacker,Netherlands,1118
38750,B. Brobbey,Attacker,Netherlands,1118
667,M. Depay,Attacker,Netherlands,1118
247,C. Gakpo,Attacker,Netherlands,1118
544,N. Lang,Attacker,Netherlands,1118
249,D. Malen,Attacker,Netherlands,1118
37724,C. Summerville,Attacker,Netherlands,1118
25416,W. Weghorst,Attacker,Netherlands,1118
714,N. Amiri,Midfielder,Germany,25
511,L. Goretzka,Midfielder,Germany,25
18970,P. Groß,Midfielder,Germany,25
494131,L. Karl,Midfielder,Germany,25
128533,J. Leweling,Attacker,Germany,25
181812,J. Musiala,Midfielder,Germany,25
637,F. Nmecha,Midfielder,Germany,25
328033,A. Pavlovic,Midfielder,Germany,25
644,L. Sané,Midfielder,Germany,25
137210,A. Stiller,Midfielder,Germany,25
203224,F. Wirtz,Midfielder,Germany,25
978,K. Havertz,Attacker,Germany,25
158644,M. Beier,Attacker,Germany,25
26475,D. Undav,Attacker,Germany,25
158054,N. Woltemade,Attacker,Germany,25
158121,I. Jakobs,Midfielder,Senegal,13
374058,L. Camara,Midfielder,Senegal,13
41552,P. Ciss,Midfielder,Senegal,13
327631,H. Diarra,Attacker,Senegal,13
2990,I. Gueye,Midfielder,Senegal,13
20696,P. Gueye,Midfielder,Senegal,13
630895,Bara Ndiaye,Midfielder,Senegal,13
237129,P. Sarr,Midfielder,Senegal,13
400948,Assane Diao,Attacker,Senegal,13
284072,B. Dieng,Attacker,Senegal,13
283058,N. Jackson,Attacker,Senegal,13
304,S. Mané,Attacker,Senegal,13
446249,I. Mbaye,Attacker,Senegal,13
14379,C. Ndiaye,Attacker,Senegal,13
18592,I. Ndiaye,Midfielder,Senegal,13
2218,I. Sarr,Attacker,Senegal,13
2869,E. Álvarez,Midfielder,Mexico,16
313383,O. Vargas,Midfielder,Mexico,16
35690,L. Chávez,Midfielder,Mexico,16
750,Álvaro Fidalgo,Midfielder,Mexico,16
212233,B. Gutiérrez,Midfielder,Mexico,16
266345,É. Lira,Midfielder,Mexico,16
482605,G. Mora,Midfielder,Mexico,16
35576,O. Pineda,Midfielder,Mexico,16
35970,L. Romo,Midfielder,Mexico,16
2879,R. Alvarado,Midfielder,Mexico,16
94562,S. Giménez,Attacker,Mexico,16
291713,A. González,Attacker,Mexico,16
36111,C. Huerta,Midfielder,Mexico,16
2887,R. Jiménez,Attacker,Mexico,16
36088,G. Martínez,Attacker,Mexico,16
35532,J. Quiñones,Midfielder,Mexico,16
2889,A. Vega,Attacker,Mexico,16
21010,E. Owusu,Midfielder,Ghana,1504
49,T. Partey,Midfielder,Ghana,1504
3608,K. Sibo,Midfielder,Ghana,1504
475575,Caleb Marfo Yirenkyi,Midfielder,Ghana,1504
19281,A. Semenyo,Attacker,Ghana,1504
337426,A. Boakye,Midfielder,Ghana,1504
303467,A. Fatawu,Midfielder,Ghana,1504
410016,P. Adu,Midfielder,Ghana,1504
82090,B. Thomas-Asante,Attacker,Ghana,1504
3428,J. Ayew,Attacker,Ghana,1504
411800,C. Bonsu Baah,Attacker,Ghana,1504
47294,I. Williams,Attacker,Ghana,1504
350856,E. Nuamah,Attacker,Ghana,1504
199837,K. Sulemana,Attacker,Ghana,1504
125171,J. Stanisic,Midfielder,Croatia,3
295026,M. Baturina,Attacker,Croatia,3
284869,T. Fruk,Midfielder,Croatia,3
14395,K. Jakic,Midfielder,Croatia,3
2291,M. Kovacic,Midfielder,Croatia,3
754,L. Modric,Midfielder,Croatia,3
1322,N. Moro,Midfielder,Croatia,3
2763,M. Pasalic,Midfielder,Croatia,3
7332,L. Sucic,Midfielder,Croatia,3
348205,P. Sucic,Attacker,Croatia,3
842,N. Vlasic,Midfielder,Croatia,3
46746,A. Budimir,Attacker,Croatia,3
